entities,entity counts,entity label
montelukast,8,Medication
estrogens,8,Topic
forum,8,TV program
bromhexine hydrochloride,8,Chemical compound
triazavirin,8,Drug
cochrane,8,Organisation
arachidonic acid,8,Topic
co2,8,Topic
dapagliflozin,8,Medication
galactomannan,8,Topic
hydrogen peroxide,8,Chemical compound
mmf,8,Degree
metronidazole,8,Medication
doxy,8,Topic
roflumilast,8,Drug
benzodiazepines,8,Class of drugs
clz,8,Topic
triglyceride,8,Topic
hydroxychloroquine sulfate,8,Drug
meropenem,8,Medication
gcs,8,Medicinal
lpv-r,7,Medication
rifampicin,7,Topic
aliskiren,7,Drug
•no,7,American football team
hydroxyzine,7,Medication
cladribine,7,Medication
cyclophosphamide,7,Medication
hcqpa,7,not determined
naloxone,7,Medication
er,7,American drama series
cyclosporine a,7,Medication
thymosin α1,7,Chemical compound
edta,7,Topic
losartan,7,Medication
cu,7,Animal
vitamin b12,7,Chemical compound
rbv,7,Medication
acalabrutinib,7,Medication
2-pyridone,7,Chemical compound
angiotensin (1-7),7,Topic
ace-2,7,Mobile phone
clopidogrel,7,Medication
csa,7,Football team
norepinephrine,7,Hormone
furin,7,Protein
fluvoxamine,7,Topic
prostaglandins,7,Chemical compound
superoxide,7,Chemical compound
sulfasalazine,7,Medication
ramipril,7,Medication
chq,7,Airport in Greece
azi,7,Topic
hydroxychloroquine sulphate,7,not determined
25-hydroxyvitamin d,7,Topic
cl,7,Topic
o,7,Cirque du Soleil
cefuroxime,7,Medication
pgs,7,Topic
celebrex,7,Drug
morphine,7,Medication
mycophenolate,7,Medication
fvp,7,"Distribution service in Eagan, Minnesota"
kaempferol,7,Topic
psilocybin,7,Chemical compound
(hydroxy)chloroquine,7,not determined
ctd,7,Company
epinephrine,7,Hormone
fbx,7,Topic
icosapent,7,Medication
h2 s,7,Drug class
lincocin,7,Medication
memantine,7,Medication
citrate,6,Topic
hydrocortisone,6,Medication
dextrose,6,Sugar substitute
etanercept,6,Topic
tamoxifen,6,Medicinal
progesterone,6,Hormone
dig,6,Topic
upa,6,"Hotel in Druskininkai, Lithuania"
sugar,6,Table condiment
etoposide,6,Medication
oua,6,Fish
thc,6,Company
methionine,6,Chemical compound
organo-hydrogels,6,not determined
nationwide,6,Topic
levofloxacin,6,Medication
lactic acid,6,Topic
azitro,6,Medication
oleoylethanolamide,6,Topic
cpc,6,Mail company
atm,6,Football club
bid,6,Topic
pioglitazone,6,Medication
phosphate,6,Topic
ctpa,6,Medical test
co,6,Virus
troponin i,6,Topic
ace2,6,Topic
quinoline,6,Chemical compound
pao2/fio2,6,not determined
po2,6,Diagnostic test
selenium,6,Chemical element
chlorine,6,Chemical element
infliximab,6,Medication
oxygen-ozone,6,Topic
az,6,Italian actress
spironolactone,6,Medication
rico,6,"Investment service in São Paulo, Brazil"
cpg 1018,6,not determined
tetracycline,6,Medication
azathioprine,6,Medication
cgp-60474,6,not determined
dabk,6,Topic
paco2,6,not determined
oleandrin,6,Topic
raltegravir,6,Medication
arbidol hydrochloride,6,not determined
betamethasone,6,Medication
hcq-azm,6,not determined
ganciclovir,6,Medication
sargramostim,6,Pharmaceutical
gabexate,5,Topic
glu,5,Sugar substitute
quinine,5,Medication
boron,5,Chemical element
thymosin,5,Topic
lithium carbonate,5,Medicinal
ntz,5,Drug
pea,5,Vegetable
nafamostat mesylate,5,Drug
crocetin,5,Chemical compound
glisoxepide,5,not determined
mhv,5,Musical group
camostat mesylate,5,"Biotechnology company in Irvine, California"
cocaine,5,Drug
tiotropium,5,Medication
metamizole,5,Drug
tetrandrine,5,Chemical compound
dip,5,American basketball player
narcissoside,5,not determined
noscapine,5,Topic
iodine,5,Chemical element
coumarin,5,Chemical compound
aprepitant,5,Medication
galidesivir,5,Drug
graphene,5,Topic
ticam,5,Topic
rhein,5,Town in Germany
paclitaxel,5,Medication
enzalutamide,5,Medication
tenofovir,5,Drug
lactic,5,Topic
mycophenolic acid,5,Medication
theaflavin,5,Topic
k+,5,TV station
bivalirudin,5,Medicinal
carbetocin,5,Medication
triglycerides,5,Topic
asx,5,Stock exchange
acps,5,Topic
choline,5,Topic
fondazione,5,Book series
dopamine,5,Drug
s-ectodomain,5,Topic
radionuclide,5,Topic
chlorpromazine,5,Medication
gangrene,5,Disease
fenofibrate,5,Medication
nifedipine,5,Medication
h2s,5,2018 video game
acetylsalicylic acid,5,Medication
diazepam,5,Medicinal
dtt,5,Company
minocycline,5,Medication
povidone-iodine,5,Chemical compound
sodium-glucose,5,Protein
ciprofloxacin,5,Topic
amentoflavone,5,Topic
retinoic acids,5,not determined
flavonoid,5,Class of chemicals
li,5,Medication
glyasperin a,5,not determined
digoxin,5,Medication
tetrac,5,Medication
amprenavir,5,Drug
naltrexone,5,Medication
valsartan,5,Medication
alvesco,5,Medication
catecholamines,5,not determined
candesartan,5,Medication
nitrate,5,Chemical compound
dantrolene,4,Drug
simeprevir,4,Medication
triphosphate,4,Chemical compound
itraconazole,4,Medication
sildenafil,4,Medication
ca2+,4,Topic
oxypurinol,4,Medication
noncorticosteroid,4,not determined
ramatroban,4,Pharmaceutical
sphingosine-1-phosphate,4,Topic
cyclosporin,4,Medication
pgd2,4,Topic
eriodictyol,4,Topic
dasatinib,4,Medication
cortisol,4,Hormone
ergothioneine,4,Chemical compound
pestel,4,Topic
anthrarufin,4,not determined
nhcq,4,not determined
cyclic adenosine monophosphate,4,Topic
tdp,4,Topic
tyrol,4,State
nintedanib,4,Medication
uric acid,4,Chemical compound
o2-o3,4,not determined
aloe-emodin,4,Topic
abidol,4,not determined
tni,4,Multi-level marketing company
velpatasvir,4,Topic
adp-ribose,4,Topic
fluoxetine,4,Topic
escitalopram,4,Medication
camp,4,Accommodation type
nicorandil,4,Drug
thromboxane a2,4,Topic
penciclovir,4,Drug
haloperidol,4,Medication
carfilzomib,4,Medication
fullerene,4,Topic
baloxavir marboxil,4,Medication
gene-eden-vir,4,Mental disorder
monoamine,4,Class of drugs
ris,4,Food
gadolinium,4,Chemical element
vitamin a,4,Topic
lte4,4,Topic
mefloquine,4,Medication
berberine,4,Topic
sivelestat,4,Topic
tetracyclines,4,Topic
resolvins,4,Topic
lxa4,4,not determined
halofantrine,4,Drug
ohq,4,Topic
hydroxyurea,4,Medication
cortisone,4,Chemical compound
vkas,4,"Real estate agency in Barreiro, Portugal"
stigmasterol,4,Topic
methicillin,4,Topic
sinigrin,4,Chemical compound
n2,4,Video game
hcqs,4,not determined
valrubicin,4,Drug
ezetimibe,4,Medication
amlodipine,4,Medication
zn(ii),4,Chemical element
biflavonoids,4,Topic
arg,4,Fast food company
basigin,4,Topic
riboflavin,4,Topic
temoporfin,4,Drug
sao2,4,not determined
diamond,4,Topic
tmx,4,Medicinal
octagam,4,Topic
niclosamide,4,Medication
drv,4,Video game
endeavor,4,Company
cobicistat,4,Medication
tmprss2,4,Topic
β-sitosterol,4,Chemical compound
ch,4,Video game
baicalin,4,Topic
p(25)-p(75),4,Singer
troponin t,4,Topic
tipranavir,4,Drug
azelastine,4,Medication
emodin,4,Chemical compound
doxorubicin,4,Medication
pge,4,Public utility company
xylitol,4,Chemical compound
bemcentinib,4,Topic
val,4,Football club
quaternary ammonium,4,Topic
zanamivir,4,Medication
indomethacin,4,Drug
acetylcysteine,4,Medication
tofacitinib,4,Medication
d-xylose,4,Topic
nadph,4,Topic
covid+,4,not determined
angiotensin-converting enzyme-2,4,Topic
albuterol,4,Medication
agii,4,Beach in Greece
dobutamine,4,Medication
erythromycin,4,Topic
clq-oh,4,not determined
udca,4,Topic
silver,4,Chemical element
repaglinide,4,Drug
idarubicin,4,Drug
alum,4,Topic
hesperetin,4,Topic
nacl,3,Chemical compound
citalopram,3,Medication
halloween,3,Celebration
chalcones,3,Topic
cq phosphate,3,Topic
n-chlorotaurine,3,not determined
oligonucleotides,3,Topic
trp,3,Amino acid
vortioxetine,3,Medication
baicalein,3,Topic
txa2,3,Topic
lenalidomide,3,Medication
oxygen-support,3,Topic
dox,3,Topic
txb2,3,Topic
rifampin,3,Topic
teal,3,Colour
baloxavir acid,3,Medication
papain,3,Topic
salicyl-carnosine,3,not determined
27-hydroxycholesterol,3,Topic
18f-fluorocholine,3,not determined
pgf2α,3,Medicinal
indoleamine,3,Gene
radioiodine,3,Medication
lysine,3,Amino acid
alisporivir,3,Topic
ulinastatin,3,Topic
kazakhstan,3,Country in Central Asia
pufas,3,Topic
bhh,3,"Public high school in Beverly Hills, California"
empagliflozin,3,Medication
normal saline,3,Topic
s-2p,3,Topic
philippines,3,Country in Asia
prostaglandin e2,3,Medication
troponin,3,Topic
plantaricin w,3,not determined
eicosapentaenoic acid,3,Chemical compound
chelating agents,3,Book by A. R Katritzky and Alan R. Katritzky
phenolic,3,Topic
grazoprevir,3,Drug
vancomycin,3,Medication
folic acid,3,Topic
phosphorus,3,Chemical element
nimesulide,3,Drug
entecavir,3,Medication
telaprevir,3,Pharmaceutical drug
catecholamine,3,Drug
ang-ii,3,Topic
praziquantel,3,Medication
cathelicidins,3,not determined
thiopurines,3,not determined
25-hydroxycholecalciferol,3,Hormone
hydroxy-chloroquine,3,not determined
ditan,3,Class of drugs
linagliptin,3,Medication
thz,3,"Gun shop in Warsaw, Poland"
o₂-o₃,3,Topic
glycyrrhetinic acid,3,Drug
fimasartan,3,Pharmaceutical
gallocatechin gallate,3,Topic
tipiracil,3,Drug
plantaricin,3,not determined
dapsone,3,Medication
dolutegravir,3,Medication
remdisivir,3,not determined
wfa,3,Radio station
dtq,3,not determined
niv,3,Topic
risperidone,3,Topic
nitrite,3,Chemical compound
chlorine dioxide,3,Chemical compound
glucocorticosteroids,3,Drug class
f,3,Musical group
codeine,3,Drug
nalc,3,Topic
fastlane,3,Song by Bad Meets Evil
"1,25-dihydroxycholecalciferol",3,Medication
orbcel-c,3,not determined
desmopressin,3,Medication
pyruvate,3,Topic
premarin,3,Medication
ncov-2019,3,Virus
hydroxychloroquine-azithromycin,3,not determined
lidocaine,3,Topic
bsg,3,Television series
nicotiflorin,3,not determined
amp,3,Unit of electric current
chx,3,"Neighborhood in Virginia Beach, Virginia"
carboplatin,3,Medication
tzd,3,Drug
remdesevir,3,not determined
cytarabine,3,Medication
fudan,3,"Public university in Shanghai, China"
cmh2o,3,Unit of pressure
fe3o4,3,not determined
aripiprazole,3,Topic
fe2o3,3,not determined
h2,3,2018 video game
propranolol,3,Medication
glutamate,3,Topic
oxt,3,Topic
hydroxycholoroquine,3,not determined
toremifene,3,Medication
histamine-1,3,Drug class
miltefosine,3,Medication
cystatin c,3,Protein
tmp/smx,3,not determined
quetiapine,3,Medication
salbutamol,3,Medication
h2o,3,Chemical compound
retinoids,3,Class of chemicals
optia,3,Company
gln,3,Amino acid
sodium hypochlorite,3,Chemical compound
thiazide,3,Class of chemicals
dec,3,Topic
bisoxatin,3,Topic
thiazolidinediones,3,Drug
olmesartan,3,Medication
methylprednisone,3,not determined
o3,3,Radio network
diphenhydramine,3,Medication
met,3,Drug
streptomycin,3,Medication
nitric oxide gas,3,Medicinal
amoxicillin,3,Medication
gallic acid,3,Topic
sulfate,3,Topic
ag,3,Chemical element
histamine-2,3,Drug class
-b,3,Topic
azole,3,Drug class
ddcq,3,not determined
gabapentin,3,Medication
dcq,3,"Bicycle store in Jabbeke, Belgium"
ketoconazole,3,Medication
heroin,3,Drug
gly,3,Pharmaceutical
equipoise,3,Pharmaceutical drug
hydrogen sulfide,3,Chemical compound
rutin,3,Topic
h2o2,3,Chemical compound
ribavarin,3,not determined
thyroxine,3,Hormone
adenosine triphosphate,3,Chemical compound
dispatch,3,Topic
atiii,3,Protein
2-dg,3,Topic
daacyl,3,not determined
acetylcholine,3,Drug
chloroquine sulfate,3,Medication
cep,3,Fungus
covccf,3,not determined
mpro-polyphenol,3,not determined
cephalosporin,3,Drug class
mpa,3,Degree
c,3,Topic
cetirizine,3,Medication
povidone,3,Topic
tele-php,2,Topic
fibrin,2,Protein
pyridone,2,Chemical compound
mesalamine,2,Medication
euroguidelines,2,not determined
hfo,2,Topic
adrenaline,2,Hormone
levothyroxine,2,Topic
vitaminc,2,Topic
premier,2,Topic
6vyo,2,not determined
α-ketoamide,2,not determined
elvitegravir,2,Pharmaceutical
p(ag-m-pmo) organo-hydrogels,2,not determined
isoliquiritin apioside,2,not determined
apalutamide,2,Medication
noradrenaline,2,Hormone
thiopurine,2,Drug class
amphotericin b,2,Medication
3clpro,2,not determined
radium,2,Chemical element
molecular-weight-heparin,2,Drug class
vb-ne,2,Software
darolutamide,2,Medication
abiraterone,2,Medication
sam,2,Actor
fad-85,2,Topic
telbivudine,2,Drug
zinc27990463,2,not determined
punigluconin,2,not determined
serin,2,Amino acid
iron oxide,2,Topic
ump,2,Topic
hdl-c,2,Topic
moxifloxacin hydrochloride,2,Chemical compound
5-ht,2,Chemical compound
hydroxycloroquine,2,not determined
trehalose,2,Topic
simvastatin,2,Medication
pontryagin,2,Mathematician
5-fu,2,Medication
gse147507,2,not determined
mg2+,2,not determined
thyroid hormones,2,Hormone
5-fluorouracil,2,Medication
lys,2,Amino acid
aluminium hydroxide,2,Chemical compound
oligopeptides,2,Topic
eltrombopag,2,Medication
flavonoid nicotiflorin,2,not determined
zinc3939013,2,not determined
glycerol,2,Pharmaceutical
sacubitril,2,Drug
olanzapine,2,Medication
thyroid hormone,2,Hormone
teriflunomide,2,Topic
coronavirus-covid-19,2,Disease
antithrombin iii,2,Disorder
thr556,2,not determined
p(ag-g-pmo),2,not determined
edp1815,2,Company
3cl,2,Topic
p(a-a)o2,2,Topic
arcsine,2,Topic
arg555,2,not determined
dolquine,2,Medication
ambrisentan,2,Drug
calcitriol,2,Medication
ibrutinib,2,Drug
phenothiazine,2,Class of drugs
hmg-coa,2,Class of drugs
prostaglandin-endoperoxide,2,Topic
sf-36,2,Topic
kallikrein,2,Topic
acetone,2,Chemical compound
val557,2,not determined
eets,2,Arcade game
oxolinic acid,2,Topic
rilapladib,2,Biotechnology company
folate,2,Topic
plus,2,Telecommunications Poland
scg,2,Company
cimetidine,2,Drug
isrctn21363594,2,not determined
acid-citrate,2,Topic
ace2-neprilysin-ca,2,not determined
trametinib,2,Drug
phenolics,2,Topic
dhp,2,"Hospital in Washington, D.C., United States"
h+,2,Web series
ciclosporin,2,Medication
budesonide,2,Medication
nad,2,Electronics company
man,2,Topic
pac,2,American rapper
cepharanthine,2,Medication
nct04308668,2,not determined
sil-6r,2,not determined
acetyl-coenzyme a,2,Topic
acetyl-coa,2,Topic
butyrate,2,Chemical compound
alizarin,2,Chemical compound
iodixanol,2,Topic
iotrolan,2,Chemical compound
alizarine,2,Chemical compound
phosphatidylglycerol,2,Topic
ccm,2,Unit of volume
pcr,2,Medical test
pcr+,2,not determined
maraviroc,2,Drug
metropolitan,2,Topic
anthraquinone,2,Chemical compound
25ohd,2,not determined
ergocalciferol,2,Medicinal product
saskatchewan,2,Canadian Province
cannabinoid,2,Class of chemicals
edoxaban,2,Medication
covid-19-pneumonia,2,Disease
thyrotropin,2,Hormone
dar,2,Topic
hemin,2,American novelist
wellcome,2,Supermarket company
triiodothyronine,2,Hormone
quinidine,2,Medication
cetylpyridinium chloride,2,Chemical compound
povidone iodine,2,Chemical compound
aado2,2,not determined
glecaprevir,2,Pharmaceutical
pibrentasvir,2,Drug
naloxegol,2,Drug
cannabinoids,2,Class of chemicals
methylglyoxal,2,Chemical compound
pitavastatin,2,Medication
anti‐androgens,2,not determined
rosoxacin,2,Topic
ridogrel,2,not determined
sub-protocol,2,Topic
ohca,2,Topic
ganglioside,2,Topic
lpv/r+ifn-α,2,not determined
ifn-α,2,Pharmaceutical drug
lpv/r+,2,not determined
finasteride,2,Medication
isopropanol,2,Chemical compound
plumbagin,2,Chemical compound
caffeic acid,2,Chemical compound
acetonitrile,2,Chemical compound
desethylchloroquine,2,not determined
hydroxicloroquine,2,not determined
teg,2,Sports entertainment company
crd42020178076,2,not determined
domperidone,2,Medication
jaktinib hydrochloride,2,Company
epoprostenol,2,Drug
rhace2,2,not determined
galangin,2,Topic
cp40,2,Topic
uridine,2,Topic
hypothiocyanite,2,Topic
etravirine,2,Drug
thromboxane b2,2,Topic
cryptophycin,2,Topic
withaferin a,2,Topic
purine,2,Chemical compound
polyphenolic,2,not determined
homocysteine,2,Topic
nilotinib,2,Medication
guanfacine,2,Medication
sars-co-v-2,2,Virus
cyclic nucleotide,2,Topic
chlorhexidine,2,Medication
coronavirus-2019,2,Virus
adamantanes,2,not determined
khainaoside c,2,not determined
nar,2,Topic
dmf,2,Chemical compound
triamcinolone,2,Medication
avifavir,2,Medication
eicosanoids,2,Topic
asiaticoside,2,not determined
neohesperidin,2,Topic
everolimus,2,Medication
docosahexaenoic acid,2,Topic
epa,2,Federal agency
dha,2,Hormone
his164,2,not determined
tirofiban,2,Drug
sphingolipid,2,Topic
oncol,2,Branch of medicine
vitamin b6,2,Topic
"quinoline,1,2,3,4-tetrahydro-1-[(2-phenylcyclopropyl)sulfonyl]-trans-(8ci)",2,not determined
enoxaparine,2,Medication
azithromycine,2,Medication
covirl002,2,not determined
jacalin,2,Topic
piperacillin/tazobactam,2,not determined
socalone,2,not determined
diterpenoids,2,not determined
acetate,2,Chemical compound
ginkgetin,2,not determined
bilobetin,2,not determined
prostaglandin d2,2,Topic
vomigone,2,not determined
α-hydroxybutyrate,2,Drug
rtv,2,Broadcasting service
cr,2,Portuguese footballer
ile,2,Amino acid
05,2,Topic
glu166,2,not determined
asn,2,Amino acid
arg319 - phe541,2,not determined
citkovitz,2,not determined
discoid,2,Illness
at-ii,2,Format
xanthine,2,Topic
mataquine,2,not determined
mk-4482,2,Topic
milrinone,2,Topic
dantron,2,Drug
langone,2,Topic
hydrochloroquine,2,not determined
organoids,2,Topic
aminoglycosides,2,Topic
nimbin,2,Village in Australia
penicillin,2,Topic
h2 o,2,Medical condition
astaxanthin,2,Chemical compound
silymarin,2,Topic
sand,2,Topic
biochanin a,2,Chemical compound
galactose,2,Topic
enoxaparin sodium,2,Medication
leucomethylene blue,2,not determined
zinc-ionophores,2,not determined
[18f]fdg-pet,2,Medical imaging
n-(4-tert-butylphenyl)-n-[(1r)-2-(cyclohexylamino)-2-oxo-1-(pyridin-3-yl)ethyl]-1h-imidazole-4-carboxamide,2,not determined
cys 145,2,Amino acid
si,2,Chemical element
al,2,Video game
threonine,2,Amino acid
ser,2,Radio network
flavanoid narcissoside,2,not determined
eidd-2801,2,not determined
nicotinamide,2,Medication
madeleine,2,Cake
ethnomedicine,2,Field of study
covid- 19,2,Disease
rgo,2,Video game
halogen,2,Periodic table group
thromboxane,2,Topic
bexarotene,2,Drug
porphyrin,2,Topic
adp ribose,2,Topic
minoxidil,2,Medication
magnesium sulfate,2,Chemical compound
cefepime,2,Drug
lianhuaqingwen,2,not determined
caspofungin,2,Drug
ursolic acid,2,Topic
coronavirus spike protein,2,not determined
prednis(ol)one,2,not determined
co-vid-19,2,Virus
cotinine,2,Topic
pre-tocilizumab,2,not determined
deepa hc,2,not determined
sincalide,2,Drug
fenretinide,2,Topic
eravacycline,2,Pharmaceutical
quinolone,2,Drug class
carbohydrate,2,Topic
formoterol,2,Medication
peramivir,2,Drug
piperine,2,Topic
dabigatran,2,Antidote
anca,2,Topic
oseltamivir phosphate,2,Chemical compound
hcq-azi,2,not determined
α-hederin,2,Topic
cisplatin,2,Medication
b-line,2,New York City Subway service
ketones,2,Topic
nucleotides,2,Topic
ketorolac,2,Drug
hads-a,2,not determined
mouse hepatitis virus,2,Virus
omega-3 fatty acid,2,Topic
ang 1-7,2,Video sharing company
ipe,2,Plants
hinokitiol,2,Topic
alpha lipoic acid,2,Pharmaceutical drug
of 2449,2,Online game
α-interferon,2,Drug
coronavirus(2019-ncov),2,Virus
ge,2,Multinational conglomerate company
n-acetyl-cysteine,2,Medication
pentagastrin,2,Chemical compound
ach,2,Drug
lycorine,2,Topic
ards,2,Injury
renin-angiotensin-aldosterone-system,2,Peer-reviewed journal
dnvr,2,Topic
ledipasvir,2,Drug
pcp,2,Topic
hcq sulfate,2,Medication
tzv,2,Video sharing company
wogonin,2,Chemical compound
pde-4,2,Drug type
celecoxib,2,Drug
theaflavins,2,not determined
diammonium glycyrrhizinate,2,not determined
baclofen,2,Medication
glabridin,2,Chemical compound
andrographis,2,Plants
apremilast,2,Medication
didanosine,2,Medication
swab,2,Topic
resveratrol,2,Topic
bioflavonoids,2,not determined
covid-19 mpro,2,Topic
sultamicillin,2,Medication
ampicillin/sulbactam,2,not determined
fosamprenavir,2,Drug
covid-2019,2,Disease
rosuvastatin,2,Medication
cysteinyl,2,Topic
gdp,2,Topic
sphingosine,2,Topic
aerosol,2,Topic
beclabuvir,2,Drug
fty720,2,Drug
phosphodiesterase-5,2,Drug
ca(oh)2,2,Topic
bicarbonate,2,Chemical compound
methyl-prednisolone,2,not determined
ammonium glycyrrhizinate,2,not determined
thymohydroquinone,2,not determined
glycine,2,Amino acid
dithymoquinone,2,not determined
formononetin,2,Topic
fulvestrant,2,Medication
mol010428,2,not determined
mol004798,2,not determined
hydroxybutyrate,2,Drug
nccn,2,Non-profit organization
fam,2,Topic
mol000554,2,not determined
aminoquinoline,2,Chemical compound
fluconazole,2,Medication
dexametasone,2,Medication
isotretinoin,2,Medication
polymyxin b,2,Medication
mol004824,2,not determined
favilavir,2,Medication
hclq,2,not determined
silvestrol,2,Topic
lactose,2,Chemical compound
amiloride,2,Medication
thr,2,Disorder
scielo,2,Portal
alpha-lipoic acid,2,Pharmaceutical drug
clq,2,Topic
