entities,entity counts,entity label
noncorticosteroid,4,not determined
ramatroban,4,Pharmaceutical
sphingosine-1-phosphate,4,Topic
cyclosporin,4,Medication
pgd2,4,Topic
eriodictyol,4,Topic
dasatinib,4,Medication
cortisol,4,Hormone
ergothioneine,4,Chemical compound
pestel,4,Topic
anthrarufin,4,not determined
nhcq,4,not determined
cyclic adenosine monophosphate,4,Topic
tdp,4,Topic
nintedanib,4,Medication
uric acid,4,Chemical compound
o2-o3,4,not determined
aloe-emodin,4,Topic
abidol,4,not determined
velpatasvir,4,Topic
adp-ribose,4,Topic
fluoxetine,4,Topic
escitalopram,4,Medication
nicorandil,4,Drug
thromboxane a2,4,Topic
penciclovir,4,Drug
haloperidol,4,Medication
carfilzomib,4,Medication
fullerene,4,Topic
baloxavir marboxil,4,Medication
gadolinium,4,Chemical element
vitamin a,4,Topic
lte4,4,Topic
mefloquine,4,Medication
berberine,4,Topic
sivelestat,4,Topic
tetracyclines,4,Topic
resolvins,4,Topic
lxa4,4,not determined
halofantrine,4,Drug
ohq,4,Topic
hydroxyurea,4,Medication
cortisone,4,Chemical compound
stigmasterol,4,Topic
methicillin,4,Topic
sinigrin,4,Chemical compound
hcqs,4,not determined
valrubicin,4,Drug
ezetimibe,4,Medication
amlodipine,4,Medication
zn(ii),4,Chemical element
biflavonoids,4,Topic
basigin,4,Topic
riboflavin,4,Topic
temoporfin,4,Drug
sao2,4,not determined
diamond,4,Topic
tmx,4,Medicinal
octagam,4,Topic
niclosamide,4,Medication
cobicistat,4,Medication
tmprss2,4,Topic
β-sitosterol,4,Chemical compound
baicalin,4,Topic
troponin t,4,Topic
tipranavir,4,Drug
azelastine,4,Medication
emodin,4,Chemical compound
doxorubicin,4,Medication
xylitol,4,Chemical compound
bemcentinib,4,Topic
quaternary ammonium,4,Topic
zanamivir,4,Medication
indomethacin,4,Drug
acetylcysteine,4,Medication
tofacitinib,4,Medication
d-xylose,4,Topic
nadph,4,Topic
covid+,4,not determined
angiotensin-converting enzyme-2,4,Topic
albuterol,4,Medication
dobutamine,4,Medication
erythromycin,4,Topic
clq-oh,4,not determined
udca,4,Topic
silver,4,Chemical element
repaglinide,4,Drug
idarubicin,4,Drug
alum,4,Topic
hesperetin,4,Topic
nacl,3,Chemical compound
citalopram,3,Medication
chalcones,3,Topic
cq phosphate,3,Topic
n-chlorotaurine,3,not determined
oligonucleotides,3,Topic
trp,3,Amino acid
vortioxetine,3,Medication
baicalein,3,Topic
txa2,3,Topic
lenalidomide,3,Medication
oxygen-support,3,Topic
dox,3,Topic
txb2,3,Topic
rifampin,3,Topic
baloxavir acid,3,Medication
papain,3,Topic
salicyl-carnosine,3,not determined
27-hydroxycholesterol,3,Topic
18f-fluorocholine,3,not determined
pgf2α,3,Medicinal
indoleamine,3,Gene
radioiodine,3,Medication
lysine,3,Amino acid
alisporivir,3,Topic
ulinastatin,3,Topic
pufas,3,Topic
empagliflozin,3,Medication
normal saline,3,Topic
s-2p,3,Topic
prostaglandin e2,3,Medication
troponin,3,Topic
plantaricin w,3,not determined
eicosapentaenoic acid,3,Chemical compound
phenolic,3,Topic
grazoprevir,3,Drug
vancomycin,3,Medication
folic acid,3,Topic
phosphorus,3,Chemical element
nimesulide,3,Drug
entecavir,3,Medication
catecholamine,3,Drug
ang-ii,3,Topic
praziquantel,3,Medication
cathelicidins,3,not determined
thiopurines,3,not determined
25-hydroxycholecalciferol,3,Hormone
hydroxy-chloroquine,3,not determined
linagliptin,3,Medication
o₂-o₃,3,Topic
glycyrrhetinic acid,3,Drug
fimasartan,3,Pharmaceutical
gallocatechin gallate,3,Topic
tipiracil,3,Drug
plantaricin,3,not determined
dapsone,3,Medication
dolutegravir,3,Medication
remdisivir,3,not determined
dtq,3,not determined
niv,3,Topic
risperidone,3,Topic
nitrite,3,Chemical compound
chlorine dioxide,3,Chemical compound
glucocorticosteroids,3,Drug class
codeine,3,Drug
nalc,3,Topic
"1,25-dihydroxycholecalciferol",3,Medication
orbcel-c,3,not determined
desmopressin,3,Medication
pyruvate,3,Topic
premarin,3,Medication
hydroxychloroquine-azithromycin,3,not determined
lidocaine,3,Topic
nicotiflorin,3,not determined
carboplatin,3,Medication
tzd,3,Drug
remdesevir,3,not determined
cytarabine,3,Medication
fe3o4,3,not determined
aripiprazole,3,Topic
fe2o3,3,not determined
propranolol,3,Medication
glutamate,3,Topic
oxt,3,Topic
hydroxycholoroquine,3,not determined
toremifene,3,Medication
histamine-1,3,Drug class
miltefosine,3,Medication
cystatin c,3,Protein
tmp/smx,3,not determined
quetiapine,3,Medication
salbutamol,3,Medication
h2o,3,Chemical compound
retinoids,3,Class of chemicals
gln,3,Amino acid
sodium hypochlorite,3,Chemical compound
thiazide,3,Class of chemicals
dec,3,Topic
bisoxatin,3,Topic
thiazolidinediones,3,Drug
olmesartan,3,Medication
methylprednisone,3,not determined
diphenhydramine,3,Medication
met,3,Drug
streptomycin,3,Medication
nitric oxide gas,3,Medicinal
amoxicillin,3,Medication
gallic acid,3,Topic
sulfate,3,Topic
ag,3,Chemical element
histamine-2,3,Drug class
-b,3,Topic
azole,3,Drug class
ddcq,3,not determined
gabapentin,3,Medication
ketoconazole,3,Medication
heroin,3,Drug
gly,3,Pharmaceutical
hydrogen sulfide,3,Chemical compound
rutin,3,Topic
h2o2,3,Chemical compound
ribavarin,3,not determined
thyroxine,3,Hormone
adenosine triphosphate,3,Chemical compound
dispatch,3,Topic
atiii,3,Protein
2-dg,3,Topic
daacyl,3,not determined
acetylcholine,3,Drug
chloroquine sulfate,3,Medication
covccf,3,not determined
mpro-polyphenol,3,not determined
cephalosporin,3,Drug class
c,3,Topic
cetirizine,3,Medication
povidone,3,Topic
tele-php,2,Topic
fibrin,2,Protein
pyridone,2,Chemical compound
mesalamine,2,Medication
euroguidelines,2,not determined
hfo,2,Topic
adrenaline,2,Hormone
levothyroxine,2,Topic
vitaminc,2,Topic
premier,2,Topic
6vyo,2,not determined
α-ketoamide,2,not determined
elvitegravir,2,Pharmaceutical
p(ag-m-pmo) organo-hydrogels,2,not determined
isoliquiritin apioside,2,not determined
apalutamide,2,Medication
noradrenaline,2,Hormone
thiopurine,2,Drug class
amphotericin b,2,Medication
3clpro,2,not determined
radium,2,Chemical element
molecular-weight-heparin,2,Drug class
darolutamide,2,Medication
abiraterone,2,Medication
fad-85,2,Topic
telbivudine,2,Drug
zinc27990463,2,not determined
punigluconin,2,not determined
serin,2,Amino acid
iron oxide,2,Topic
ump,2,Topic
hdl-c,2,Topic
moxifloxacin hydrochloride,2,Chemical compound
5-ht,2,Chemical compound
hydroxycloroquine,2,not determined
trehalose,2,Topic
simvastatin,2,Medication
5-fu,2,Medication
gse147507,2,not determined
mg2+,2,not determined
thyroid hormones,2,Hormone
5-fluorouracil,2,Medication
lys,2,Amino acid
aluminium hydroxide,2,Chemical compound
oligopeptides,2,Topic
eltrombopag,2,Medication
flavonoid nicotiflorin,2,not determined
zinc3939013,2,not determined
glycerol,2,Pharmaceutical
sacubitril,2,Drug
olanzapine,2,Medication
thyroid hormone,2,Hormone
teriflunomide,2,Topic
thr556,2,not determined
p(ag-g-pmo),2,not determined
3cl,2,Topic
p(a-a)o2,2,Topic
arcsine,2,Topic
arg555,2,not determined
dolquine,2,Medication
ambrisentan,2,Drug
calcitriol,2,Medication
ibrutinib,2,Drug
prostaglandin-endoperoxide,2,Topic
sf-36,2,Topic
kallikrein,2,Topic
acetone,2,Chemical compound
val557,2,not determined
oxolinic acid,2,Topic
folate,2,Topic
cimetidine,2,Drug
isrctn21363594,2,not determined
acid-citrate,2,Topic
ace2-neprilysin-ca,2,not determined
trametinib,2,Drug
phenolics,2,Topic
ciclosporin,2,Medication
budesonide,2,Medication
man,2,Topic
cepharanthine,2,Medication
nct04308668,2,not determined
sil-6r,2,not determined
acetyl-coenzyme a,2,Topic
acetyl-coa,2,Topic
butyrate,2,Chemical compound
alizarin,2,Chemical compound
iodixanol,2,Topic
iotrolan,2,Chemical compound
alizarine,2,Chemical compound
phosphatidylglycerol,2,Topic
pcr+,2,not determined
maraviroc,2,Drug
metropolitan,2,Topic
anthraquinone,2,Chemical compound
25ohd,2,not determined
cannabinoid,2,Class of chemicals
edoxaban,2,Medication
thyrotropin,2,Hormone
dar,2,Topic
triiodothyronine,2,Hormone
quinidine,2,Medication
cetylpyridinium chloride,2,Chemical compound
povidone iodine,2,Chemical compound
aado2,2,not determined
glecaprevir,2,Pharmaceutical
pibrentasvir,2,Drug
naloxegol,2,Drug
cannabinoids,2,Class of chemicals
methylglyoxal,2,Chemical compound
pitavastatin,2,Medication
anti‐androgens,2,not determined
rosoxacin,2,Topic
ridogrel,2,not determined
sub-protocol,2,Topic
ohca,2,Topic
ganglioside,2,Topic
lpv/r+ifn-α,2,not determined
lpv/r+,2,not determined
finasteride,2,Medication
isopropanol,2,Chemical compound
plumbagin,2,Chemical compound
caffeic acid,2,Chemical compound
acetonitrile,2,Chemical compound
desethylchloroquine,2,not determined
hydroxicloroquine,2,not determined
crd42020178076,2,not determined
domperidone,2,Medication
epoprostenol,2,Drug
rhace2,2,not determined
galangin,2,Topic
cp40,2,Topic
uridine,2,Topic
hypothiocyanite,2,Topic
etravirine,2,Drug
thromboxane b2,2,Topic
cryptophycin,2,Topic
withaferin a,2,Topic
purine,2,Chemical compound
polyphenolic,2,not determined
homocysteine,2,Topic
nilotinib,2,Medication
guanfacine,2,Medication
cyclic nucleotide,2,Topic
chlorhexidine,2,Medication
adamantanes,2,not determined
khainaoside c,2,not determined
nar,2,Topic
dmf,2,Chemical compound
triamcinolone,2,Medication
avifavir,2,Medication
eicosanoids,2,Topic
asiaticoside,2,not determined
neohesperidin,2,Topic
everolimus,2,Medication
docosahexaenoic acid,2,Topic
dha,2,Hormone
his164,2,not determined
tirofiban,2,Drug
sphingolipid,2,Topic
vitamin b6,2,Topic
"quinoline,1,2,3,4-tetrahydro-1-[(2-phenylcyclopropyl)sulfonyl]-trans-(8ci)",2,not determined
enoxaparine,2,Medication
azithromycine,2,Medication
covirl002,2,not determined
jacalin,2,Topic
piperacillin/tazobactam,2,not determined
socalone,2,not determined
diterpenoids,2,not determined
acetate,2,Chemical compound
ginkgetin,2,not determined
bilobetin,2,not determined
prostaglandin d2,2,Topic
vomigone,2,not determined
α-hydroxybutyrate,2,Drug
ile,2,Amino acid
05,2,Topic
glu166,2,not determined
asn,2,Amino acid
arg319 - phe541,2,not determined
citkovitz,2,not determined
xanthine,2,Topic
mataquine,2,not determined
mk-4482,2,Topic
milrinone,2,Topic
dantron,2,Drug
langone,2,Topic
hydrochloroquine,2,not determined
organoids,2,Topic
aminoglycosides,2,Topic
penicillin,2,Topic
astaxanthin,2,Chemical compound
silymarin,2,Topic
sand,2,Topic
biochanin a,2,Chemical compound
galactose,2,Topic
enoxaparin sodium,2,Medication
leucomethylene blue,2,not determined
zinc-ionophores,2,not determined
n-(4-tert-butylphenyl)-n-[(1r)-2-(cyclohexylamino)-2-oxo-1-(pyridin-3-yl)ethyl]-1h-imidazole-4-carboxamide,2,not determined
cys 145,2,Amino acid
si,2,Chemical element
threonine,2,Amino acid
flavanoid narcissoside,2,not determined
eidd-2801,2,not determined
nicotinamide,2,Medication
thromboxane,2,Topic
bexarotene,2,Drug
porphyrin,2,Topic
adp ribose,2,Topic
minoxidil,2,Medication
magnesium sulfate,2,Chemical compound
cefepime,2,Drug
lianhuaqingwen,2,not determined
caspofungin,2,Drug
ursolic acid,2,Topic
coronavirus spike protein,2,not determined
prednis(ol)one,2,not determined
cotinine,2,Topic
pre-tocilizumab,2,not determined
deepa hc,2,not determined
sincalide,2,Drug
fenretinide,2,Topic
eravacycline,2,Pharmaceutical
quinolone,2,Drug class
carbohydrate,2,Topic
formoterol,2,Medication
peramivir,2,Drug
piperine,2,Topic
anca,2,Topic
oseltamivir phosphate,2,Chemical compound
hcq-azi,2,not determined
α-hederin,2,Topic
cisplatin,2,Medication
ketones,2,Topic
nucleotides,2,Topic
ketorolac,2,Drug
hads-a,2,not determined
omega-3 fatty acid,2,Topic
hinokitiol,2,Topic
α-interferon,2,Drug
n-acetyl-cysteine,2,Medication
pentagastrin,2,Chemical compound
ach,2,Drug
lycorine,2,Topic
dnvr,2,Topic
ledipasvir,2,Drug
pcp,2,Topic
hcq sulfate,2,Medication
wogonin,2,Chemical compound
celecoxib,2,Drug
theaflavins,2,not determined
diammonium glycyrrhizinate,2,not determined
baclofen,2,Medication
glabridin,2,Chemical compound
apremilast,2,Medication
didanosine,2,Medication
swab,2,Topic
resveratrol,2,Topic
bioflavonoids,2,not determined
covid-19 mpro,2,Topic
sultamicillin,2,Medication
ampicillin/sulbactam,2,not determined
fosamprenavir,2,Drug
rosuvastatin,2,Medication
cysteinyl,2,Topic
gdp,2,Topic
sphingosine,2,Topic
aerosol,2,Topic
beclabuvir,2,Drug
fty720,2,Drug
phosphodiesterase-5,2,Drug
ca(oh)2,2,Topic
bicarbonate,2,Chemical compound
methyl-prednisolone,2,not determined
ammonium glycyrrhizinate,2,not determined
thymohydroquinone,2,not determined
glycine,2,Amino acid
dithymoquinone,2,not determined
formononetin,2,Topic
fulvestrant,2,Medication
mol010428,2,not determined
mol004798,2,not determined
hydroxybutyrate,2,Drug
fam,2,Topic
mol000554,2,not determined
aminoquinoline,2,Chemical compound
fluconazole,2,Medication
dexametasone,2,Medication
isotretinoin,2,Medication
polymyxin b,2,Medication
mol004824,2,not determined
favilavir,2,Medication
hclq,2,not determined
silvestrol,2,Topic
lactose,2,Chemical compound
amiloride,2,Medication
clq,2,Topic
18f-fdg,2,Medication
palmitoylethanolamide,2,Chemical compound
4-aminoquinolines,2,not determined
dihydroorotate,2,Protein
pneumomediastinum,2,Topic
temozolomide,2,Medication
singular,2,Topic
mol013443,2,not determined
chictr2000030262,2,not determined
s,2,Topic
epigallocatechin gallate,2,Topic
mol000519,2,not determined
fedratinib,2,Topic
alkaloid,2,Topic
tmz,2,Topic
homoharringtonine,2,not determined
nucleoside triphosphate,2,Topic
omega-3 fatty acids,2,Topic
elbasvir,2,Drug
aspartic acid,2,Amino acid
steward,2,Topic
sterile water,1,Topic
apratoxin a,1,Topic
cid 1070884,1,not determined
co-pathogens,1,Topic
dihydroquercetin,1,Topic
thiamine hydrochloride,1,Chemical compound
cid 1207786,1,not determined
niacinamide,1,Medication
remidisvir,1,not determined
galactosamine,1,Topic
bangdiwala as,1,not determined
riboflavin 5' phosphate,1,Topic
phenylalanine,1,Amino acid
hcovs-229e,1,not determined
apilimod,1,Drug
tjipanazole,1,not determined
mtici2b-3,1,not determined
hcq- azm,1,not determined
clinicaltrials.gov nct04335123 nct04311177 nct04312009,1,not determined
herbacetin,1,Topic
gangliosides,1,Topic
isobavachalcone,1,not determined
nitrile,1,Topic
inosine pranobex,1,Drug
crd42020186996,1,not determined
n-terminal-probnp,1,Protein
mdr504 hace2-fc,1,not determined
eucapsitrione,1,not determined
mdr504,1,not determined
cryptophycin 1,1,not determined
cylindrospermopsin,1,Chemical compound
tolyporphin,1,not determined
calcium d-pantothenate,1,Chemical compound
lopinivir,1,not determined
salins n,1,Topic
capa,1,Topic
actemra,1,Drug
rinazine,1,not determined
pyridoxine hydrochloride,1,Chemical compound
artemisinin-piperaquine,1,not determined
ther,1,Topic
sodium bicarbonate,1,Chemical compound
bhatnagar s,1,Topic
selumetinib,1,Topic
angiotensin aldosterone,1,Topic
trialswebsite,1,not determined
spiramycin,1,Drug
mustard gas,1,Chemical compound
piperacillin-tazobactam,1,Medication
pao2/fio2 < 100,1,not determined
colistin,1,Medication
cd154,1,Protein
zaleplon.pregnancy.breastfeeding.history,1,not determined
trial.to,1,Topic
hydroxychloroquine-with,1,Medication
racemic epinephrine,1,not determined
(oh) d,1,Topic
pentamidine,1,Medication
hydroxy,1,Medication
umbelliprenin,1,not determined
fluvoxamine.treatment,1,Topic
hydroxychloroquine phosphate/sulfate,1,not determined
mln-3897,1,Topic
phycocyanobilin,1,Topic
porphyrins,1,Topic
dna,1,Topic
hads-d,1,not determined
chelerythrine,1,Topic
fe2+,1,Topic
crd42020180875,1,not determined
light red,1,Topic
oroxylin a,1,Chemical compound
hydroxychloroquine phosphate,1,Medication
praeruptorin e,1,not determined
"1α,25-dihydroxy vitamin d-1,25[oh]2 d",1,Medication
sotalol,1,Medication
so2,1,Chemical compound
pco2,1,Topic
epigallocatechin-3-gallate,1,Topic
mevalonate,1,Chemical compound
lovastatin,1,Medication
hcq-no az,1,not determined
cyanocobalamin,1,Medication
"theaflavin-3,3'-digallate",1,Topic
arthritis.insulin,1,not determined
marathon,1,Topic
droperidol,1,Drug
"(oh)d-1,25 dihydroxy vitamin d",1,Medication
amiodarone.hereditary,1,not determined
lumefantrine,1,Chemical compound
circadin,1,not determined
(hs)-troponin,1,not determined
procainamide,1,Medication
sparfloxacin,1,Medication
25(oh)d- 25 hydroxyvitamin d,1,Hormone
zolpidem,1,Medication
thioridazine,1,Drug
cisapride,1,Drug
zopiclone,1,Drug
heliox,1,Topic
famotidine or cimetidine,1,not determined
ang ii-at1r,1,not determined
bhalla a,1,Topic
retionavir,1,not determined
levamisole,1,Medication
vinblastine,1,Medication
leucine,1,Amino acid
pyrin,1,Topic
cyclosporine-a,1,Medication
gemcitabine,1,Medication
protocol aaas9924,1,not determined
17apr2020,1,not determined
aluminium,1,Chemical element
metoclopramide,1,Medication
pubchem 23727975,1,not determined
lactogenic hormone,1,not determined
mm-pbsa-wsas.<sup>2-4</sup>,1,not determined
<sup>1</sup> i,1,not determined
phosphatidylcholine,1,Topic
des-arg(9)-bradykinin,1,Protein
cefdinir,1,Medication
monitoring.•otelemedicine,1,not determined
monoterpenoid,1,Topic
ambroxol hydrochloride,1,not determined
fluoroquinolones,1,not determined
oxycodone,1,Medication
(-)-isoprenaline,1,Medication
propylthiouracil,1,Medication
methimazole,1,Medication
5-aminosalicylate,1,Medication
acid β-glucosidase,1,Chemical compound
glycosphingolipids,1,not determined
pgx,1,Topic
cytosine,1,Topic
borea,1,Topic
ondansetron,1,Medication
compstatin,1,not determined
β-thujaplicin,1,Topic
bisbenzylisoquinoline,1,not determined
sodium glucose,1,Protein
cyclophilin a,1,Protein
2oiknwl,1,not determined
angiotensin ⅱ,1,Medication
dipivefrine,1,Topic
crd42020191877,1,not determined
ketoprofen,1,Drug
celecoxib diclofenac,1,not determined
pasireotide,1,Drug
clavulanate,1,Medication
piroxicam,1,Drug
etodolac,1,Drug
flurbiprofen,1,Drug
mefenamic acid,1,Drug
clotrimazole,1,Medication
.nitazoxanide,1,Drug
16 817,1,Topic
thiazolides,1,Drug
